QTY,Description,Note/Carrier,Face or Leg,Offset Type,Horizontal,Lateral,Vertical,Azimuth Adjustment(degree),Placement(ft),CaAa Front (No Ice) ft^2,"CaAa Front (1/2"" Ice) ft^2",CaAa Side (No Ice) ft^2,"CaAa Side (1/2"" Ice) ft^2",Weight (No Ice) Weight,"Weight (1/2"" Ice) Weight"
29,"Sector Frame,(ATT)",ATT,B, Fromleg,0.000,1.750,0.000,0.0000,298.000,16.000,8.000,16.290,8.250,0.640,0.340
30,"(2) SBNHH-1D65C w/,Mount Pipe",,A,From Leg,0.000,4.000,0.000,0.0000,300.000,16.000,11.588,16.290,9.793,0.640,0.099
31,"(ATT),TT08-19DB112-001,(ATT)",ATT,A,From Leg,0.000,3.000,0.000,0.0000,300.000,13.035,0.793,12.854,0.642,0.287,0.022
32,"TT08-19DB111-001,(ATT)",ATT,B,From Leg,0.000,3.000,0.000,0.0000,300.000,1.040,0.793,0.872,0.642,0.039,0.022
33,"TT08-19DB111-001,(ATT)",ATT,C,FromLeg,0.000,3.000,0.000,0.0000,300.000,1.040,0.793,0.872,0.642,0.039,0.022
34,"RRUS 32 B30,(ATT)",ATT,A,From Leg,0.000,3.000,0.000,0.0000,300.000,1.040,2.692,0.872,1.573,0.039,0.060
35,"RRUS 32 B30,(ATT)",ATT,B,From Leg,0.000,3.000,0.000,0.0000,300.000,3.138,2.692,1.945,1.573,0.104,0.060
36,"RRUS 32 B30,(ATT)",ATT,A,From Leg,0.000,3.000,0.000,0.0000,300.000,1.040,2.692,0.372,1.573,0.039,0.060
37,"RRUS 32 B30,(ATT)",ATT,B,From Leg,0.000,3.000,0.000,0.0000,300.000,3.138,2.692,1.945,1.573,0.104,0.060
38,"(2) RRUS 32 B30,(ATT)",ATT,C,FromLeg,0.000,3.000,0.000,0.0000,300.000,3.138,2.692,1.945,1.573,0.104,0.060
39,"DC6-48-60-18-8F,(ATT)",ATT,A,From Leg,0.000,3.000,0.000,0.0000,300.000,3.138,4.818,1.945,2.901,0.104,0.019
40,"DC6-+48-60-18-8F,(ATT)",ATT,C,From Leg,0.000,3.000,0.000,0.0000,300.000,5.385,4.818,3.366,2.901,0.100,0.019
